Mon Feb 17 13:30:51 2014    prof

         364164 function calls (359960 primitive calls) in 57.978 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        9    0.000    0.000    0.000    0.000 _weakrefset.py:68(__contains__)
        1    0.000    0.000    0.000    0.000 rfc822.py:85(Message)
        1    0.000    0.000    0.000    0.000 threading.py:399(notifyAll)
       12    0.000    0.000    0.000    0.000 {built-in method getmaxyx}
       28    0.000    0.000    0.000    0.000 {method 'fileno' of '_socket.socket' objects}
        6    0.000    0.000    0.000    0.000 {RPi.GPIO.setup}
        1    0.000    0.000    0.000    0.000 calendar.py:66(_localized_day)
        1    0.000    0.000    0.000    0.000 carplayer:530(__init__)
        1    0.000    0.000    0.000    0.000 random.py:72(Random)
        1    0.000    0.000    0.000    0.000 mpd.py:55(MPDClient)
        1    0.000    0.000    0.000    0.000 carplayer:1541(__init__)
        1    0.000    0.000    0.000    0.000 urllib.py:116(URLopener)
        8    0.000    0.000    0.000    0.000 _weakrefset.py:16(__init__)
        2    0.000    0.000    0.000    0.000 socket.py:246(__init__)
        8    0.000    0.000    0.000    0.000 _weakrefset.py:52(_commit_removals)
        1    0.000    0.000    0.000    0.000 carplayer:1837(__init__)
        1    0.000    0.000    0.000    0.000 socket.py:235(_fileobject)
        1    0.000    0.000    0.000    0.000 genericpath.py:38(isdir)
        1    0.000    0.000    0.000    0.000 iri2uri.py:6(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:49(normalize_encoding)
        1    0.000    0.000    0.000    0.000 carplayer:306(__init__)
        5    0.000    0.000    0.000    0.000 {built-in method subwin}
        1    0.000    0.000    0.000    0.000 wrapper.py:8(<module>)
        1    0.000    0.000    0.000    0.000 urlparse.py:73(ResultMixin)
        1    0.000    0.000    0.000    0.000 calendar.py:126(Calendar)
        1    0.000    0.000    0.000    0.000 carplayer:396(__init__)
        1    0.000    0.000    0.000    0.000 locale.py:532(setlocale)
        1    0.000    0.000    0.000    0.000 StringIO.py:42(StringIO)
        1    0.000    0.000    0.000    0.000 threading.py:372(notify)
        6    0.000    0.000    0.000    0.000 carplayer:229(__init__)
        1    0.000    0.000    0.000    0.000 httplib.py:680(HTTPConnection)
        1    0.000    0.000    0.000    0.000 fnmatch.py:11(<module>)
        2    0.000    0.000    0.000    0.000 {map}
        1    0.000    0.000    0.000    0.000 minidom.py:33(Node)
